filename,doi,title,year,doi_source
000942902777679984,10.2533/000942902777679984,Chemical Synthesis in Microreactors,,doi_merged.csv
03602559.2012.700359,10.1080/03602559.2012.700359,Synthesis of Poly(ϵ-caprolactone) Microreactors from Freeze-Dried Microspheres,,doi_merged.csv
1.2391316,10.1115/1.2391316,Solar Disinfection Kinetic Design Parameters for Continuous Flow Reactors,,doi_merged.csv
1.4719921,10.1063/1.4719921,Design of a continuous-flow reactor for <i>in situ</i> x-ray absorption spectroscopy of solids in supercritical fluids,,doi_merged.csv
1.5030984,10.1063/1.5030984,Continuous flow microreactor for protein PEGylation,,doi_merged.csv
1846.2017.00009,10.1556/1846.2017.00009,Forbidden Chemistries — Paths to a Sustainable Future Engaging Continuous Processing,,doi_merged.csv
Abiev - 2022 - Chemical and Biochemical Reactors for Controlled Synthesis of Organic and Inorganic Compounds,10.1134/s1070427222110015,Chemical and Biochemical Reactors for Controlled Synthesis of Organic and Inorganic Compounds,2022,miner_title_match
Abou-Hassan 등 - 2012 - Synthesis of cobalt ferrite nanoparticles in continuous-flow microreactors,10.1039/c2ra21799f,Synthesis of cobalt ferrite nanoparticles in continuous-flow microreactors,2012,miner_title_match
"Armstrong 등 - 2024 - Early-Stage Flow Process Development of a Key Intermediate toward PF-07265807, an AXL-MER Inhibitor",10.1021/acs.oprd.4c00112,"Early-Stage Flow Process Development of a Key Intermediate toward PF-07265807, an AXL-MER Inhibitor Oncology Candidate",2024,miner_title_match
Avila 등 - 2022 - Automated stopped-flow library synthesis for rapid optimisation and machine learning directed experi,10.1039/d2sc03016k,Automated stopped-flow library synthesis for rapid optimisation and machine learning directed experimentation,2022,miner_title_match
B710680G,10.1039/b710680g,Multichannel quench-flow microreactor chip for parallel reaction monitoring,,doi_merged.csv
Bagi 등 - 2021 - A continuous flow chemistry approach for the ultrafast and low-cost synthesis of MOF-808,10.1039/d1gc02824c,A continuous flow chemistry approach for the ultrafast and low-cost synthesis of MOF-808,2021,miner_title_match
Bateni 등 - 2024 - Smart Dope A Self-Driving Fluidic Lab for Accelerated Development of Doped Perovskite Quantum Dots,10.1002/aenm.202302303,Smart Dope: A Self‐Driving Fluidic Lab for Accelerated Development of Doped Perovskite Quantum Dots,2023,crossref_api
Besenhard 등 - 2023 - High temperature flow synthesis of iron oxide nanoparticles Size tuning via reactor engineering,10.1515/gps-2016-0138,Synthesis of iron oxide nanoparticles in a continuous flow spiral microreactor and Corning <sup>®</sup> advanced flow™ reactor,2017,miner_title_match
"Borukhova 등 - 2016 - From alcohol to 1,2,3-triazole via a multi-step continuous-flow synthesis of a rufinamide precursor",10.1039/c6gc01133k,"From alcohol to 1,2,3-triazole via a multi-step continuous-flow synthesis of a rufinamide precursor",2016,miner_title_match
Boyall 등 - 2024 - Palladium nanoparticle deposition on spherical carbon supports for heterogeneous catalysis in contin,10.1039/d3cy01718d,Palladium nanoparticle deposition on spherical carbon supports for heterogeneous catalysis in continuous flow,2024,miner_title_match
Britton 등 - 2015 - Rapid Vortex Fluidics Continuous Flow Synthesis of Amides and Local Anesthetic Lidocaine,10.2174/0115701786313379240815113722,Continuous Flow Synthesis of Amides in Bio-Derived Solvent GVL,2024,miner_title_match
C0GC00655F,10.1039/c0gc00655f,Applying a continuous capillary-based process to the synthesis of 3-chloro-2-hydroxypropyl pivaloate,,doi_merged.csv
C3GC40407B,10.1039/c3gc40407b,Multistep synthesis of amides from alcohols and amines in continuous flow microreactor systems using oxygen and urea hydrogen peroxide as oxidants,,doi_merged.csv
C5RA20838F,10.1039/c5ra20838f,A two-step continuous flow synthesis of amides from alcohol using a metal-free catalyst,,doi_merged.csv
C5RE00038F,10.1039/c5re00038f,Online monitoring and analysis for autonomous continuous flow self-optimizing reactor systems,,doi_merged.csv
C6CC06427B,10.1039/c6cc06427b,A MOF-membrane based on the covalent bonding driven assembly of a NMOF with an organic oligomer and its application in membrane reactors,,doi_merged.csv
C7TA05534J,10.1039/c7ta05534j,A nanoporous graphene analog for superfast heavy metal removal and continuous-flow visible-light photoredox catalysis,,doi_merged.csv
Campaña 등 - 2020 - Fabrication and Characterization of a Low-Cost Microfluidic System for the Manufacture of Alginate–L,10.1007/s43630-024-00544-3,Fabrication and characterization of microporous soft templated photoactive 3D materials for water disinfection in batch and continuous flow,2024,miner_title_match
Cao 등 - 2022 - On the performance of liquid-liquid Taylor flow electrochemistry in a microreactor – A CFD study,10.1016/j.cej.2021.131443,On the performance of liquid-liquid Taylor flow electrochemistry in a microreactor – A CFD study,2021,miner_title_match
Chaudhary 등 - 2024 - Sustainable and Advanced LED-Implanted Microfluidic Photoreactor with Coupled Optical Fiber Enabling,10.1021/acsomega.4c04836,Sustainable and Advanced LED-Implanted Microfluidic Photoreactor with Coupled Optical Fiber Enabling Efficient Photocatalytic Synthesis Beside Online Reaction Progress Monitoring,2024,miner_title_match
Chen 등 - 2022 - Addressing the quantitative conversion bottleneck in single-atom catalysis,10.1038/s41467-022-30551-w,Addressing the quantitative conversion bottleneck in single-atom catalysis,2022,miner_title_match
Ciemięga 등 - 2024 - Bifunctionalised acid-base hierarchically structured monolithic microreactor for continuous-flow tan,10.1038/s41598-024-77146-7,Bifunctionalised acid-base hierarchically structured monolithic microreactor for continuous-flow tandem catalytic process of cyanocinnamate synthesis,2024,miner_title_match
Feng 등 - 2025 - Typical Cases of Continuous Flow Chemistry in Pharmaceutical Synthesis in 2023–2024,10.1002/ajoc.202500132,Typical Cases of Continuous Flow Chemistry in Pharmaceutical Synthesis in 2023–2024,2025,miner_title_match
Fischer 등 - 2000 - The reaction kinetics of dimethyl ether. I High-temperature pyrolysis and oxidation in flow reactor,10.1002/1097-4601(2000)32:12<713::aid-kin1>3.0.co;2-9,The reaction kinetics of dimethyl ether. I: High-temperature pyrolysis and oxidation in flow reactors,2000,miner_title_match
Frontiers  Continuous Hydrogenation Triphasic System Optimization at Kilo Lab Scale Using a Slurry,10.3389/fceng.2021.701910,Continuous Hydrogenation: Triphasic System Optimization at Kilo Lab Scale Using a Slurry Solution,2021,crossref_api
Frontiers  Process intensification in continuous flow organic synthesis with enabling and hybrid te,10.1002/asia.201000010,Continuous Flow Organic Synthesis under High‐Temperature/Pressure Conditions,2010,miner_title_match
Frontiers  Sustainable synthesis of L-phenylalanine derivatives in continuous flow by immobilized p,10.3389/fctls.2023.1147205,Sustainable synthesis of L-phenylalanine derivatives in continuous flow by immobilized phenylalanine ammonia lyase,2023,miner_title_match
"Gao 등 - 2023 - Plasma-Activated Mist Continuous-Flow, Scalable Nitrogen Fixation, and Aeroponics",10.1021/acssuschemeng.2c07324,"Plasma-Activated Mist: Continuous-Flow, Scalable Nitrogen Fixation, and Aeroponics",2023,crossref_api
"Gaudino 등 - 2018 - Sonochemical preparation of alumina-spheres loaded with Pd nanoparticles for 2-butyne-1,4-diol semi-",10.1039/c8ra00331a,"Sonochemical preparation of alumina-spheres loaded with Pd nanoparticles for 2-butyne-1,4-diol semi-hydrogenation in a continuous flow microwave reactor",2018,miner_title_match
Gloge 등 - 2000 - Phenylalanine Ammonia-Lyase The Use of Its Broad Substrate Specificity for Mechanistic Investigatio,10.1002/1521-3765(20000915)6:18<3386::aid-chem3386>3.0.co;2-5,Phenylalanine Ammonia-Lyase: The Use of Its Broad Substrate Specificity for Mechanistic Investigations and Biocatalysis—Synthesis ofL-Arylalanines,2000,crossref_api
Griffiths 등 - 2023 - MOF-based heterogeneous catalysis in continuous flow via incorporation onto polymer-based spherical,10.1039/d3nr03634k,MOF-based heterogeneous catalysis in continuous flow <i>via</i> incorporation onto polymer-based spherical activated carbon supports,2023,miner_title_match
"Groves 등 - 2020 - High Throughput Synthesis and Screening of Oxygen Reduction Catalysts in the MTiO3 (M = Ca, Sr, Ba)",10.1021/acscombsci.0c00094.s001,"High Throughput Synthesis and Screening of Oxygen Reduction Catalysts in the MTiO3 (M = Ca, Sr, Ba) Perovskite Phase Diagram",,crossref_api
Gustafsson 등 - 2008 - Trimethylaluminium mediated amide bond formation in a continuous flow microreactor as key to the syn,10.1039/b719603b,Trimethylaluminium mediated amide bond formation in a continuous flow microreactor as key to the synthesis of rimonabant and efaproxiral,2008,miner_title_match
Gutiérrez López 등 - 2023 - Electric field–assisted anion-π catalysis on carbon nanotubes in electrochemical microfluidic device,10.1126/sciadv.adj5502,Electric field–assisted anion-π catalysis on carbon nanotubes in electrochemical microfluidic devices,2023,miner_title_match
Harper 등 - 2022 - Commercial-Scale Visible Light Trifluoromethylation of 2-Chlorothiophenol Using CF3I Gas,10.1021/acs.oprd.1c00436,Commercial-Scale Visible Light Trifluoromethylation of 2-Chlorothiophenol Using CF <sub>3</sub> I Gas,2022,miner_title_match
He 등 - 2023 - Effect of stabilizer EDTA on the thermal hazard of green synthesis process of adipic acid and develo,10.48130/emst-2023-0022,Effect of stabilizer EDTA on the thermal hazard of green synthesis process of adipic acid and development of microchannel continuous flow process,2023,miner_title_match
Hsieh 등 - 2024 - A Continuous Process for Manufacturing Apremilast. Part I Process Development and Intensification b,10.1021/acs.oprd.3c00400,A Continuous Process for Manufacturing Apremilast. Part I: Process Development and Intensification by Utilizing Flow Chemistry Principles,2024,miner_title_match
Hsu 등 - 2022 - Heterogeneous metallaphotoredox catalysis in a continuous-flow packed-bed reactor,10.3762/bjoc.18.115,Heterogeneous metallaphotoredox catalysis in a continuous-flow packed-bed reactor,2022,miner_title_match
Illg 등 - 2012 - Orifice microreactor for the production of an organic peroxide – non-reactive and reactive character,10.1039/c2gc35043b,Orifice microreactor for the production of an organic peroxide – non-reactive and reactive characterization,2012,miner_title_match
Ince 등 - 2025 - Sustainability and Techno-Economic Assessment of Batch and Flow Chemistry in Seven Industrial Pharma,10.1021/acssuschemeng.4c09289,Sustainability and Techno-Economic Assessment of Batch and Flow Chemistry in Seven Industrial Pharmaceutical Processes,2025,miner_title_match
Ishitani 등 - 2023 - Liquid-phase Catalytic Continuous-Flow Aromatic Nitration Reactions with Conc. HNO3 on Modified Mixe,10.1021/acssuschemeng.2c04616,Liquid-phase Catalytic Continuous-Flow Aromatic Nitration Reactions with Conc. HNO<sub>3</sub> on Modified Mixed-Metal Oxide Composites as High-Yielding Solid Acid Catalysts,2023,miner_title_match
Kang 등 - 2026 - Fully automated and high-fidelity robotic platform enabling accelerated discovery of nanocatalysts,10.1039/d5sc06192j,Fully automated and high-fidelity robotic platform enabling accelerated discovery of nanocatalysts,2026,crossref_api
Karadaghi 등 - 2022 - Throughput Optimization of Molybdenum Carbide Nanoparticle Catalysts in a Continuous Flow Reactor Us,10.1021/acsanm.1c02916,Throughput Optimization of Molybdenum Carbide Nanoparticle Catalysts in a Continuous Flow Reactor Using Design of Experiments,2022,miner_title_match
Kershaw 등 - 2023 - Machine learning directed multi-objective optimization of mixed variable chemical systems,10.1016/j.cej.2022.138443,Machine learning directed multi-objective optimization of mixed variable chemical systems,2022,miner_title_match
Kim 등 - 2013 - High-rate synthesis of Cu–BTC metal–organic frameworks,10.1039/c3cc46049e,High-rate synthesis of Cu–BTC metal–organic frameworks,2013,miner_title_match
Kim 등 - 2014 - A monolithic and flexible fluoropolymer film microreactor for organic synthesis applications,10.1039/c4lc00748d,A monolithic and flexible fluoropolymer film microreactor for organic synthesis applications,2014,miner_title_match
Kohns 등 - 2018 - Hierarchical silica monoliths with submicron macropores as continuous-flow microreactors for reactio,10.1039/c8re00037a,Hierarchical silica monoliths with submicron macropores as continuous-flow microreactors for reaction kinetic and mechanistic studies in heterogeneous catalysis,2018,miner_title_match
Lehmann 등 - 2022 - Scale-Up of Diazonium Salts and Azides in a Three-Step Continuous Flow Sequence,10.1021/acs.oprd.2c00016,Scale-Up of Diazonium Salts and Azides in a Three-Step Continuous Flow Sequence,2022,miner_title_match
Let 등 - 2023 - Organic porous heterogeneous composite with antagonistic catalytic sites as a cascade catalyst for c,10.1039/d3sc03525e,Organic porous heterogeneous composite with antagonistic catalytic sites as a cascade catalyst for continuous flow reaction,2023,miner_title_match
Li 등 - 2024 - De novo construction of amine-functionalized metal-organic cages as heterogenous catalysts for micro,10.1038/s41467-024-51431-5,De novo construction of amine-functionalized metal-organic cages as heterogenous catalysts for microflow catalysis,2024,miner_title_match
Liu 등 - 2013 - Parallel array of nanochannels grafted with polymer-brushes-stabilized Au nanoparticles for flow-thr,10.1039/c3nr03901c,Parallel array of nanochannels grafted with polymer-brushes-stabilized Au nanoparticles for flow-through catalysis,2013,miner_title_match
Loren 등 - 2017 - Mass spectrometric directed system for the continuous-flow synthesis and purification of diphenhydra,10.1039/c7sc00905d,Mass spectrometric directed system for the continuous-flow synthesis and purification of diphenhydramine,2017,miner_title_match
Ma 등 - 2024 - Protocell Flow Reactors for Enzyme and Whole-Cell Mediated Biocatalysis,10.1002/adma.202404607,Protocell Flow Reactors for Enzyme and Whole‐Cell Mediated Biocatalysis,2024,miner_title_match
Mahajan 등 - 2019 - Micro-electro-flow reactor (μ-EFR) system for ultra-fast arene synthesis and manufacture of daclatas,10.1039/c9cc06127d,Micro-electro-flow reactor (μ-EFR) system for ultra-fast arene synthesis and manufacture of daclatasvir,2019,miner_title_match
Maresz 등 - 2023 - A Continuous-Flow Microreactor for Knoevenagel Condensation of Ethyl Cyanoacetate with Benzaldehyde,10.1002/cplu.202200390,A Continuous‐Flow Microreactor for Knoevenagel Condensation of Ethyl Cyanoacetate with Benzaldehyde: The Effect of Grafted Amino Groups on Catalytic Activity,2023,crossref_api
Martins 등 - 2024 - Continuous flow reactions in the preparation of active pharmaceutical ingredients and fine chemicals,10.1039/d4cc00418c,Continuous flow reactions in the preparation of active pharmaceutical ingredients and fine chemicals,2024,miner_title_match
Masson 등 - 2022 - Fixed Bed Continuous Hydrogenations in Trickle Flow Mode A Pharmaceutical Industry Perspective,10.1021/acs.oprd.2c00034,Fixed Bed Continuous Hydrogenations in Trickle Flow Mode: A Pharmaceutical Industry Perspective,2022,miner_title_match
Masson 등 - 2024 - Open-source 3D printed reactors for reproducible batch and continuous-flow photon-induced chemistry,10.1039/d4re00081a,Open-source 3D printed reactors for reproducible batch and continuous-flow photon-induced chemistry: design and characterization,2024,miner_title_match
Matcha 등 - 2024 - Exploratory Process Development of a High-Temperature Thermal (3 + 2) Cycloaddition in Continuous Fl,10.1021/acs.oprd.3c00113,Exploratory Process Development of a High-Temperature Thermal (3 + 2) Cycloaddition in Continuous Flow for the Synthesis of Seltorexant,2023,miner_title_match
Mattera 등 - 2024 - “On-The-Fly” Synthesis of Self-Supported LDH Hollow Structures Through Controlled Microfluidic React,10.26434/chemrxiv-2023-151jq,"""On-the-fly"" synthesis of self-supported LDH hollow structures through controlled microfluidic reaction-diffusion conditions",2023,crossref_api
McCormack 및 Stephens - 2024 - The continuous flow synthesis of azos,10.1039/b924309g,"The continuous flow synthesis of butane-2,3-diacetal protected building blocks using microreactors",2010,miner_title_match
Montaner 등 - 2023 - Digitisation of a modular plug and play 3D printed continuous flow system for chemical synthesis,10.1039/d3dd00128h,Digitisation of a modular plug and play 3D printed continuous flow system for chemical synthesis,2023,miner_title_match
Nakahara 등 - 2022 - Antibody–Drug Conjugate Synthesis Using Continuous Flow Microreactor Technology,10.1021/acs.oprd.2c00217,Antibody–Drug Conjugate Synthesis Using Continuous Flow Microreactor Technology,2022,miner_title_match
"Naughton 등 - 2015 - High temperature continuous flow synthesis of CdSeCdSZnS, CdSZnS, and CdSeSZnS nanocrystals",10.1039/c5nr04510j,"High temperature continuous flow synthesis of CdSe/CdS/ZnS, CdS/ZnS, and CdSeS/ZnS nanocrystals",2015,miner_title_match
Nguyen 등 - 2025 - Cognitively Driven Autonomous Flow Chemistry for Producing On-Demand Perovskite Quantum Dots Via Adv,10.1002/smtd.202400094,Cognitively Driven Autonomous Flow Chemistry for Producing On‐Demand Perovskite Quantum Dots Via Advanced Closed‐Loop Feedback Control,2024,miner_title_match
Obermayer 등 - 2013 - Nanocatalysis in continuous flow supported iron oxide nanoparticles for the heterogeneous aerobic o,10.1039/c3gc40307f,Nanocatalysis in continuous flow: supported iron oxide nanoparticles for the heterogeneous aerobic oxidation of benzyl alcohol,2013,miner_title_match
Poletti 등 - 2024 - A Telescoped Photo-Organo-Catalyzed Cross Dehydrogenative Coupling (CDC) between Glycine Derivative,10.1021/acssuschemeng.4c05931.s001,A Telescoped Photo-/Organo-Catalyzed Cross Dehydrogenative Coupling (CDC) between Glycine Derivatives and Ketones to Afford Nonproteinogenic Amino Acids (NPAAs) Enabled by Heterogeneous Continuous Flow Catalysis,,crossref_api
Puglisi 등 - 2021 - In-flow enantioselective homogeneous organic synthesis,10.1515/gps-2021-0073,In-flow enantioselective homogeneous organic synthesis,2021,miner_title_match
Reif 등 - 2022 - Liquid phase aromatization of bio-based ketones over a stable solid acid catalyst under batch and co,10.1016/j.catcom.2022.106402,Liquid phase aromatization of bio-based ketones over a stable solid acid catalyst under batch and continuous flow conditions,2022,miner_title_match
Reizman 등 - 2016 - Suzuki–Miyaura cross-coupling optimization enabled by automated feedback,10.1039/c6re00153j,Suzuki–Miyaura cross-coupling optimization enabled by automated feedback,2016,miner_title_match
Ren 등 - 2014 - A pressure-tolerant polymer microfluidic device fabricated by the simultaneous solidification-bondin,10.1039/c4lc00560k,A pressure-tolerant polymer microfluidic device fabricated by the simultaneous solidification-bonding method and flash chemistry application,2014,miner_title_match
Reus 등 - 2024 - Advances in cofactor immobilization for enhanced continuous-flow biocatalysis,10.1007/s41981-024-00315-2,Advances in cofactor immobilization for enhanced continuous-flow biocatalysis,2024,miner_title_match
Su Kim 등 - 2007 - Large-scale production of single-walled carbon nanotubes by induction thermal plasma,10.1088/0022-3727/40/8/s17,Large-scale production of single-walled carbon nanotubes by induction thermal plasma,2007,miner_title_match
Sumpter 등 - 2023 - Autonomous continuous flow reactor synthesis for scalable atom-precision,10.1016/j.cartre.2022.100234,Autonomous continuous flow reactor synthesis for scalable atom-precision,2022,miner_title_match
Supajaruwong 등 - 2023 - Scaling-up of carbon dots hydrothermal synthesis from sugars in a continuous flow microreactor syste,10.1080/14686996.2023.2260298,Scaling-up of carbon dots hydrothermal synthesis from sugars in a continuous flow microreactor system for biomedical application as <i>in vitro</i> antimicrobial drug nanocarrier,2023,miner_title_match
Suwanpitak 등 - 2024 - Optimization of Lipid-Based Nanoparticles Formulation Loaded with Biological Product Using A Novel D,10.2147/ijn.s474775,Optimization of Lipid-Based Nanoparticles Formulation Loaded with Biological Product Using A Novel Design Vortex Tube Reactor via Flow Chemistry,2024,miner_title_match
Synthesis of Curcumin Derivatives via Knoevenagel Reaction Within a Continuously Driven Microfluidic,10.3390/gels11040278,Synthesis of Curcumin Derivatives via Knoevenagel Reaction Within a Continuously Driven Microfluidic Reactor Using Polymeric Networks Containing Piperidine as a Catalyst,2025,miner_title_match
Tofighi 등 - 2022 - Continuous synthesis of CuZnOAl2O3 nanoparticles in a co-precipitation reaction using a silicon ba,10.1039/d1re00499a,Continuous synthesis of Cu/ZnO/Al<sub>2</sub>O<sub>3</sub> nanoparticles in a co-precipitation reaction using a silicon based microfluidic reactor,2022,crossref_api
Trunschke - 2022 - Prospects and challenges for autonomous catalyst discovery viewed from an experimental perspective,10.1039/d2cy00275b,Prospects and challenges for autonomous catalyst discovery viewed from an experimental perspective,2022,crossref_api
Wan 등 - 2022 - Flow chemistry in the multi-step synthesis of natural products,10.1016/j.gresc.2022.07.007,Flow chemistry in the multi-step synthesis of natural products,2022,miner_title_match
Webb 및 Jamison - 2010 - Continuous flow multi-step organic synthesis,10.1039/c0sc00381f,Continuous flow multi-step organic synthesis,2010,miner_title_match
Wietelmann 등 - 2022 - Continuous Processing of Concentrated Organolithiums in Flow Using Static and Dynamic Spinning Disc,10.1021/acs.oprd.2c00007,Continuous Processing of Concentrated Organolithiums in Flow Using Static and Dynamic Spinning Disc Reactor Technologies,2022,miner_title_match
Wu 등 - 2021 - A three-tiered colloidosomal microreactor for continuous flow catalysis,10.1038/s41467-021-26381-x,A three-tiered colloidosomal microreactor for continuous flow catalysis,2021,miner_title_match
Xu 등 - 2023 - Highly enantioselective synthesis of both tetrahydroquinoxalines and dihydroquinoxalinones via Rh–th,10.1039/d3sc00803g,Highly enantioselective synthesis of both tetrahydroquinoxalines and dihydroquinoxalinones<i>via</i>Rh–thiourea catalyzed asymmetric hydrogenation,2023,miner_title_match
"Yalamanchili 등 - 2021 - Automated, Multistep Continuous-Flow Synthesis of 2,6-Dideoxy and 3-Amino-2,3,6-trideoxy Monosacchar",10.1002/anie.202109887,"Automated, Multistep Continuous‐Flow Synthesis of 2,6‐Dideoxy and 3‐Amino‐2,3,6‐trideoxy Monosaccharide Building Blocks",2021,miner_title_match
Yang 등 - 2023 - Fundamental and Development of Microreaction Technology for the Application of Fine Chemicals Synthe,10.1080/00219592.2023.2197011,Fundamental and Development of Microreaction Technology for the Application of Fine Chemicals Synthesis,2023,miner_title_match
Yang 등 - 2023 - Surface-Immobilized ZnNx Sites as High-Performance Catalysts for Continuous Flow Knoevenagel Condens,10.1021/acsami.3c14181.s001,Surface-Immobilized ZnNx Sites as High-Performance Catalysts for Continuous Flow Knoevenagel Condensation in Water,,crossref_api
"Yang 등 - 2024 - Safety Guided Process Development and Scale-Up of the Highly Energetic Compound 4-Methyl-1,2,5-oxadi",10.1021/acs.oprd.4c00137,"Safety Guided Process Development and Scale-Up of the Highly Energetic Compound 4-Methyl-1,2,5-oxadiazole-3-carboxylic Acid",2024,miner_title_match
Zhu 등 - 2019 - Microfluidic immobilized enzyme reactors for continuous biocatalysis,10.1039/c9re00217k,Microfluidic immobilized enzyme reactors for continuous biocatalysis,2019,miner_title_match
_cost_log,,_cost_log,,filename_only
a-1541-1761,10.1055/a-1541-1761,Evaluating the Green Credentials of Flow Chemistry towards Industrial Applications,,doi_merged.csv
ac800855u,10.1021/ac800855u,Organic Synthesis in Soft Wall-Free Microreactors: Real-Time Monitoring of Fluorogenic Reactions,,doi_merged.csv
